Id,Expected
019410b1fcf0625f608b4ce97629ab55_0,577881 45 579161 45 580441 45 581721 45 582986 65 584266 65 585546 65 586826 65 588091 85 589371 85 590651 85 591931 85 593191 105 594471 105 595751 105 597021 115 598301 115 599581 115 600861 115 602131 130 603411 130 604691 130 605971 130 607241 140 608521 140 609801 140 611081 140 612351 155 613631 155 614911 155 616191 155 617466 160 618746 160 620026 160 621306 160 622576 170 623856 170 625136 170 626416 170 627691 175 628971 175 630251 175 631531 175 632801 185 634081 185 635361 185 636636 195 637916 195 639196 195 640476 195 641751 200 643031 200 644311 200 645591 200 646871 200 648151 200 649431 200 650711 200 651986 205 653266 205 654546 205 655826 205 657106 205 658386 205 659666 205 660946 205 662226 205 663506 205 664786 205 666066 205 667346 205 668626 205 669906 205 671186 205 672461 210 673741 210 675021 210 676301 210 677581 210 678861 210 680141 210 681421 210 682701 210 683981 210 685261 210 686541 210 687821 210 689101 210 690381 210 691656 215 692936 215 694216 215 695496 215 696776 215 698056 215 699336 215 700616 215 701896 215 703176 215 704456 215 705736 215 707016 215 708296 215 709576 215 710856 215 712136 215 713416 215 714696 215 715976 215 717256 215 718536 215 719816 215 721096 215 722376 210 723656 210 724936 210 726211 215 727491 215 728771 215 730051 215 731331 215 732611 215 733891 215 735171 215 736456 210 737736 210 739016 210 740296 210 741576 210 742856 210 744136 210 745416 210 746696 210 747976 210 749256 210 750536 210 751816 210 753096 210 754376 210 755656 210 756936 210 758216 210 759496 210 760776 210 762061 200 763341 200 764621 200 765901 200 767181 200 768461 200 769741 200 771026 195 772306 195 773586 195 774866 195 776146 195 777426 195 778706 195 779986 195 781266 190 782546 190 783826 190 785106 190 786391 185 787671 185 788951 185 790231 185 791511 185 792791 185 794071 185 795351 185 796636 175 797916 175 799196 175 800476 175 801761 170 803041 170 804321 170 805601 170 806881 165 808161 165 809441 165 810721 165 812006 160 813286 160 814566 160 815846 160 817126 160 818406 160 819686 160 820971 150 822251 150 823531 150 824811 150 826096 140 827376 140 828656 140 829936 140 831221 130 832501 130 833781 130 835061 130 836346 110 837626 110 838906 110 840186 110 841476 60 842756 60 844036 60 845316 60
019410b1fcf0625f608b4ce97629ab55_1,
02fa602bb3c7abacdbd7e6afd56ea7bc_0,576736 10 578016 10 579296 10 580561 35 581841 35 583121 35 584401 35 585676 50 586956 50 588236 50 589516 50 590791 55 592071 55 593351 55 594631 55 595906 65 597186 65 598466 65 599741 75 601021 75 602301 75 603581 75 604861 75 606141 75 607421 75 608701 75 609976 85 611256 85 612536 85 613816 85 615096 85 616376 85 617656 85 618931 95 620211 95 621491 95 622771 95 624051 95 625331 95 626611 95 627891 95 629166 105 630446 105 631726 105 633006 105 634286 105 635566 105 636846 105 638126 105 639406 105 640686 105 641966 105 643241 110 644521 110 645801 110 647081 110 648361 115 649641 115 650921 115 652201 115 653481 115 654761 115 656041 115 657316 120 658596 120 659876 120 661156 120 662436 120 663716 120 664996 120 666276 120 667556 120 668836 120 670116 120 671396 120 672676 120 673956 120 675236 120 676516 120 677796 120 679076 120 680356 120 681636 120 682916 120 684196 120 685476 120 686756 120 688036 120 689316 120 690596 120 691876 120 693156 120 694436 120 695716 120 696996 120 698276 120 699556 120 700841 115 702121 115 703401 115 704681 115 705961 115 707241 115 708521 115 709801 115 711081 115 712361 115 713641 115 714921 115 716201 115 717481 115 718761 115 720041 115 721321 115 722601 115 723881 115 725166 110 726446 110 727726 110 729006 110 730286 110 731566 110 732846 110 734126 110 735406 110 736686 110 737966 110 739251 105 740531 105 741811 105 743091 105 744371 105 745651 105 746931 105 748216 100 749496 100 750776 100 752056 100 753336 100 754616 100 755896 100 757176 100 758461 90 759741 90 761021 90 762301 90 763586 85 764866 85 766146 85 767426 85 768706 85 769986 85 771266 85 772551 75 773831 75 775111 75 776391 75 777676 70 778956 70 780236 70 781516 70 782806 55 784086 55 785366 55 786651 45 787931 45 789211 45 790491 45
02fa602bb3c7abacdbd7e6afd56ea7bc_1,
0398846f67b5df7cdf3f33c3ca4d5060_0,436901 35 438181 35 439461 35 440741 35 442011 55 443291 55 444571 55 445846 70 447126 70 448406 70 449686 70 450961 80 452241 80 453521 80 454801 80 456081 85 457361 85 458641 85 459921 85 461196 95 462476 95 463756 95 465031 105 466311 105 467591 105 468871 105 470151 110 471431 110 472711 110 473991 110 475266 120 476546 120 477826 120 479106 120 480386 120 481666 120 482946 120 484221 130 485501 130 486781 130 488061 130 489341 135 490621 135 491901 135 493181 135 494461 135 495741 135 497021 135 498301 135 499576 145 500856 145 502136 145 503416 145 504696 145 505976 145 507256 145 508536 150 509816 150 511096 150 512376 150 513656 150 514936 150 516216 150 517496 150 518776 155 520056 155 521336 155 522616 155 523896 155 525176 155 526456 155 527736 160 529016 160 530296 160 531576 160 532856 160 534136 160 535416 160 536696 160 537976 165 539256 165 540536 165 541816 170 543096 170 544376 170 545656 170 546936 170 548216 170 549496 170 550776 170 552051 180 553331 180 554611 180 555891 180 557171 180 558451 180 559731 180 561011 180 562291 180 563571 180 564851 180 566126 190 567406 190 568686 190 569966 190 571246 190 572526 190 573806 190 575086 190 576366 190 577646 190 578926 190 580206 195 581486 195 582766 195 584046 195 585326 195 586606 195 587886 195 589166 195 590441 200 591721 200 593001 200 594281 200 595561 200 596841 200 598121 200 599401 200 600681 200 601961 200 603241 200 604521 200 605801 200 607081 200 608361 200 609641 200 610921 200 612201 200 613481 200 614761 200 616041 200 617321 200 618601 200 619881 200 621161 200 622441 200 623721 200 625001 200 626281 200 627561 200 628841 200 630121 200 631401 200 632681 200 633961 200 635241 200 636521 200 637801 200 639081 200 640361 200 641641 200 642921 195 644201 195 645481 195 646761 195 648041 195 649321 195 650601 195 651881 195 653161 195 654441 195 655721 195 657001 195 658281 195 659561 195 660841 195 662121 195 663401 195 664681 195 665961 195 667241 200 668521 200 669801 200 671081 200 672361 200 673641 200 674921 200 676206 195 677486 195 678766 195 680046 195 681326 195 682606 195 683886 195 685166 195 686451 190 687731 190 689011 190 690296 185 691576 185 692856 185 694136 185 695416 190 696696 190 697976 190 699256 190 700541 185 701821 185 703101 185 704381 185 705666 180 706946 180 708226 180 709516 170 710796 170 712076 170 713356 170 714641 165 715921 165 717201 165 718481 165 719766 160 721046 160 722326 160 723606 160 724896 150 726176 150 727456 150 728736 150 730016 150 731296 150 732576 150 733866 140 735146 140 736426 140 737706 140 738986 140 740266 140 741546 140 742826 140 744106 140 745386 140 746666 140 747951 135 749231 135 750511 135 751791 135 753071 135 754351 135 755631 135 756911 135 758191 135 759471 135 760751 135 762031 135 763311 130 764591 130 765871 130 767151 130 768431 130 769711 130 770991 130 772276 125 773556 125 774836 125 776116 125 777396 125 778676 125 779956 125 781236 125 782516 125 783796 125 785076 125 786351 125 787631 125 788911 125 790191 125 791471 125 792751 125 794031 125 795311 125 796591 125 797871 125 799151 125 800431 125 801711 120 802991 120 804271 120 805556 115 806836 115 808116 115 809396 115 810676 115 811956 115 813236 115 814516 115 815796 115 817076 115 818356 115 819636 115 820916 110 822196 110 823476 110 824756 110 826036 110 827316 110 828596 110 829876 105 831156 105 832436 105 833716 105 835001 100 836281 100 837561 100 838841 100 840121 100 841401 100 842681 100 843966 90 845246 90 846526 90 847806 90 849091 85 850371 85 851651 85 852931 85 854216 75 855496 75 856776 75 858056 75 859346 65 860626 65 861906 65 863196 55 864476 55 865756 55 867036 55 868321 45 869601 45 870881 45 872161 45 873441 45 874721 45 876001 45 877281 45 878561 45 879841 45 881121 45 882401 40 883681 40 884961 40 886241 40 887521 40 888801 40 890081 40 891361 40 892641 35 893921 35 895201 35 896481 35 897766 30 899046 30 900326 30 901611 20 902891 20 904171 20 905451 20 906736 10 908016 10 909296 10 910576 10
0398846f67b5df7cdf3f33c3ca4d5060_1,
05734fbeedd0f9da760db74a29abdb04_0,
05734fbeedd0f9da760db74a29abdb04_1,323181 30 324461 30 325741 30 327021 30 328286 65 329566 65 330846 65 332126 65 333401 80 334681 80 335961 80 337236 95 338516 95 339796 95 341076 95 342351 110 343631 110 344911 110 346191 110 347466 120 348746 120 350026 120 351306 120 352586 130 353866 130 355146 130 356426 130 357701 145 358981 145 360261 145 361541 150 362821 150 364101 150 365381 150 366656 160 367936 160 369216 160 370496 160 371776 165 373056 165 374336 165 375616 165 376896 170 378176 170 379456 170 380736 170 382011 175 383291 175 384571 175 385851 180 387131 180 388411 180 389691 180 390971 185 392251 185 393531 185 394811 185 396091 185 397371 185 398651 185 399931 185 401211 185 402491 185 403771 185 405051 185 406331 185 407611 185 408891 185 410171 185 411451 185 412731 185 414011 185 415291 185 416571 185 417851 185 419131 185 420411 180 421691 180 422971 180 424251 180 425531 180 426811 180 428091 180 429371 180 430651 180 431931 180 433211 180 434491 180 435771 180 437051 180 438331 180 439616 175 440896 175 442176 175 443456 175 444736 170 446016 170 447296 170 448576 170 449856 170 451136 170 452416 170 453696 170 454981 165 456261 165 457541 165 458821 165 460106 155 461386 155 462666 155 463946 155 465231 150 466511 150 467791 150 469076 140 470356 140 471636 140 472916 140 474201 135 475481 135 476761 135 478041 135 479331 120 480611 120 481891 120 483171 120 484456 110 485736 110 487016 110 488296 110 489586 95 490866 95 492146 95 493451 65 494731 65 496011 65 497291 65 498586 40 499866 40 501146 40 502426 40 503721 10 505001 10 506281 10 507561 10
05b78a91391adc0bb223c4eaf3372eae_0,
05b78a91391adc0bb223c4eaf3372eae_1,707336 20 708616 20 709896 20 711176 20 712446 35 713726 35 715006 35 716286 35 717556 50 718836 50 720116 50 721396 50 722671 60 723951 60 725231 60 726506 70 727786 70 729066 70 730346 70 731621 75 732901 75 734181 75 735461 75 736736 85 738016 85 739296 85 740576 85 741851 90 743131 90 744411 90 745691 90 746966 95 748246 95 749526 95 750806 95 752086 100 753366 100 754646 100 755926 100 757201 105 758481 105 759761 105 761041 105 762316 115 763596 115 764876 115 766156 115 767436 115 768716 115 769996 115 771276 115 772556 115 773836 115 775116 115 776391 120 777671 120 778951 120 780231 120 781511 120 782791 120 784071 120 785351 120 786626 125 787906 125 789186 125 790466 125 791746 125 793026 125 794306 125 795586 125 796866 125 798146 125 799426 125 800706 125 801981 125 803261 125 804541 125 805821 125 807101 125 808381 125 809661 125 810941 125 812221 120 813501 120 814781 120 816056 120 817336 120 818616 120 819896 120 821176 120 822456 120 823736 120 825016 120 826296 115 827576 115 828856 115 830136 115 831416 110 832696 110 833976 110 835256 110 836536 110 837816 110 839096 110 840376 110 841656 110 842936 110 844216 110 845496 110 846776 110 848056 110 849336 110 850616 110 851896 105 853176 105 854456 105 855736 105 857016 105 858296 105 859576 105 860856 105 862136 105 863416 105 864696 105 865981 100 867261 100 868541 100 869821 100 871101 100 872381 100 873661 100 874941 100 876221 100 877501 100 878781 100 880061 100 881346 95 882626 95 883906 95 885186 95 886466 95 887746 95 889026 95 890306 95 891591 85 892871 85 894151 85 895431 85 896711 80 897991 80 899271 80 900556 75 901836 75 903116 75 904396 75 905676 65 906956 65 908236 65 909516 65 910796 40 912076 40 913356 40 914636 40 915921 30 917201 30 918481 30 919761 30 921046 15 922326 15 923606 15 924886 15
