Done epoch 0: | Train loss: 0.0735 | Val loss: 0.0702 | Time taken: 20.1948 |
Done epoch 1: | Train loss: 0.0570 | Val loss: 0.0530 | Time taken: 19.1914 |
Done epoch 2: | Train loss: 0.0470 | Val loss: 0.0485 | Time taken: 19.1999 |
Done epoch 3: | Train loss: 0.0388 | Val loss: 0.0342 | Time taken: 19.2491 |
Done epoch 4: | Train loss: 0.0331 | Val loss: 0.0367 | Time taken: 19.1467 |
Done epoch 5: | Train loss: 0.0299 | Val loss: 0.0308 | Time taken: 19.1739 |
Done epoch 6: | Train loss: 0.0286 | Val loss: 0.0234 | Time taken: 19.1589 |
Done epoch 7: | Train loss: 0.0296 | Val loss: 0.0281 | Time taken: 19.2378 |
Done epoch 8: | Train loss: 0.0252 | Val loss: 0.0298 | Time taken: 19.5031 |
Done epoch 9: | Train loss: 0.0282 | Val loss: 0.0335 | Time taken: 19.2328 |
Done epoch 10: | Train loss: 0.0261 | Val loss: 0.0304 | Time taken: 19.1777 |
Done epoch 11: | Train loss: 0.0262 | Val loss: 0.0290 | Time taken: 19.2604 |
Done epoch 12: | Train loss: 0.0260 | Val loss: 0.0266 | Time taken: 19.2277 |
Done epoch 13: | Train loss: 0.0243 | Val loss: 0.0277 | Time taken: 19.2059 |
Done epoch 14: | Train loss: 0.0265 | Val loss: 0.0268 | Time taken: 19.1769 |
Done epoch 15: | Train loss: 0.0227 | Val loss: 0.0279 | Time taken: 19.2149 |
Done epoch 16: | Train loss: 0.0291 | Val loss: 0.0421 | Time taken: 19.2079 |
Done epoch 17: | Train loss: 0.0266 | Val loss: 0.0374 | Time taken: 19.3120 |
Done epoch 18: | Train loss: 0.0300 | Val loss: 0.0333 | Time taken: 19.2238 |
Done epoch 19: | Train loss: 0.0236 | Val loss: 0.0233 | Time taken: 19.2138 |
Done epoch 20: | Train loss: 0.0243 | Val loss: 0.0322 | Time taken: 19.1955 |
Done epoch 21: | Train loss: 0.0220 | Val loss: 0.0235 | Time taken: 19.1994 |
Done epoch 22: | Train loss: 0.0219 | Val loss: 0.0267 | Time taken: 19.1852 |
Done epoch 23: | Train loss: 0.0272 | Val loss: 0.0304 | Time taken: 19.1852 |
Done epoch 24: | Train loss: 0.0234 | Val loss: 0.0294 | Time taken: 19.1715 |
Done epoch 25: | Train loss: 0.0224 | Val loss: 0.0285 | Time taken: 19.2125 |
Done epoch 26: | Train loss: 0.0207 | Val loss: 0.0288 | Time taken: 19.2779 |
Done epoch 27: | Train loss: 0.0218 | Val loss: 0.0344 | Time taken: 19.1674 |
Done epoch 28: | Train loss: 0.0228 | Val loss: 0.0352 | Time taken: 19.1435 |
Done epoch 29: | Train loss: 0.0206 | Val loss: 0.0328 | Time taken: 19.1609 |
Done epoch 30: | Train loss: 0.0242 | Val loss: 0.0372 | Time taken: 19.2073 |
Done epoch 31: | Train loss: 0.0223 | Val loss: 0.0322 | Time taken: 19.2054 |
Done epoch 32: | Train loss: 0.0208 | Val loss: 0.0264 | Time taken: 19.1514 |
Done epoch 33: | Train loss: 0.0191 | Val loss: 0.0253 | Time taken: 19.2018 |
Done epoch 34: | Train loss: 0.0220 | Val loss: 0.0272 | Time taken: 19.1702 |
Done epoch 35: | Train loss: 0.0170 | Val loss: 0.0340 | Time taken: 19.2594 |
Done epoch 36: | Train loss: 0.0255 | Val loss: 0.0313 | Time taken: 19.1457 |
Done epoch 37: | Train loss: 0.0219 | Val loss: 0.0272 | Time taken: 19.1393 |
Done epoch 38: | Train loss: 0.0200 | Val loss: 0.0259 | Time taken: 19.1757 |
Done epoch 39: | Train loss: 0.0211 | Val loss: 0.0264 | Time taken: 19.2477 |
Done epoch 40: | Train loss: 0.0173 | Val loss: 0.0248 | Time taken: 19.2058 |
Done epoch 41: | Train loss: 0.0172 | Val loss: 0.0244 | Time taken: 19.1620 |
Done epoch 42: | Train loss: 0.0160 | Val loss: 0.0205 | Time taken: 19.1626 |
Done epoch 43: | Train loss: 0.0184 | Val loss: 0.0249 | Time taken: 19.1911 |
Done epoch 44: | Train loss: 0.0212 | Val loss: 0.0297 | Time taken: 19.3599 |
Done epoch 45: | Train loss: 0.0192 | Val loss: 0.0316 | Time taken: 19.2422 |
Done epoch 46: | Train loss: 0.0161 | Val loss: 0.0203 | Time taken: 19.1796 |
Done epoch 47: | Train loss: 0.0162 | Val loss: 0.0294 | Time taken: 19.2030 |
Done epoch 48: | Train loss: 0.0153 | Val loss: 0.0282 | Time taken: 19.2315 |
Done epoch 49: | Train loss: 0.0177 | Val loss: 0.0300 | Time taken: 19.1653 |
Done epoch 50: | Train loss: 0.0193 | Val loss: 0.0299 | Time taken: 19.1541 |
Done epoch 51: | Train loss: 0.0182 | Val loss: 0.0306 | Time taken: 19.1862 |
Done epoch 52: | Train loss: 0.0186 | Val loss: 0.0268 | Time taken: 19.1990 |
Done epoch 53: | Train loss: 0.0162 | Val loss: 0.0213 | Time taken: 22.3962 |
Done epoch 54: | Train loss: 0.0149 | Val loss: 0.0222 | Time taken: 24.4295 |
Done epoch 55: | Train loss: 0.0152 | Val loss: 0.0205 | Time taken: 20.3112 |
Done epoch 56: | Train loss: 0.0208 | Val loss: 0.0216 | Time taken: 19.2178 |
Done epoch 57: | Train loss: 0.0179 | Val loss: 0.0169 | Time taken: 19.1975 |
Done epoch 58: | Train loss: 0.0194 | Val loss: 0.0249 | Time taken: 19.6805 |
Done epoch 59: | Train loss: 0.0233 | Val loss: 0.0268 | Time taken: 24.1851 |
Done epoch 60: | Train loss: 0.0188 | Val loss: 0.0278 | Time taken: 24.3355 |
Done epoch 61: | Train loss: 0.0181 | Val loss: 0.0214 | Time taken: 25.6211 |
Done epoch 62: | Train loss: 0.0155 | Val loss: 0.0287 | Time taken: 19.2978 |
Done epoch 63: | Train loss: 0.0198 | Val loss: 0.0249 | Time taken: 19.3277 |
Done epoch 64: | Train loss: 0.0168 | Val loss: 0.0287 | Time taken: 19.2666 |
Done epoch 65: | Train loss: 0.0169 | Val loss: 0.0214 | Time taken: 19.2329 |
Done epoch 66: | Train loss: 0.0166 | Val loss: 0.0262 | Time taken: 19.2606 |
Done epoch 67: | Train loss: 0.0164 | Val loss: 0.0282 | Time taken: 19.3215 |
Done epoch 68: | Train loss: 0.0161 | Val loss: 0.0221 | Time taken: 19.2694 |
Done epoch 69: | Train loss: 0.0160 | Val loss: 0.0256 | Time taken: 19.2901 |
Done epoch 70: | Train loss: 0.0225 | Val loss: 0.0317 | Time taken: 19.5095 |
Done epoch 71: | Train loss: 0.0186 | Val loss: 0.0247 | Time taken: 19.3482 |
Done epoch 72: | Train loss: 0.0133 | Val loss: 0.0278 | Time taken: 19.2211 |
Done epoch 73: | Train loss: 0.0204 | Val loss: 0.0276 | Time taken: 19.2607 |
